Question,Answer 
Is there any info about training certificate?,"We issue a certificate after all the course elements have been completed and the case study has been successfully reviewed. You are enrolled for the January 2023 course, but it looks like you’ve not accessed any of the course materials on the online training site. Please see the email below with login details to the online training platform where the course materials can be accessed. The case study is the final requirement for certification, and should be submitted on the training site. Please see the video in the email below on how to access the course materials on the training site, as well as the video below on how to submit your case study:"
,How to submit your case study for review: https://youtu.be/-6AYdKhA3ws
Videos ,
How to Access the Course Materials on the USB Flash Drive,https://www.youtube.com/watch?v=s9HPhXar-4U
How to Access the Course Materials on the Online Training Site,https://www.youtube.com/watch?v=rKQZkKnp-Xw
How to Submit Your Case Study for Certification,https://www.youtube.com/watch?v=-6AYdKhA3ws
How to create live blood analysis reports,https://attendee.gotowebinar.com/recording/121367769322033665
How to break up the blood sample for Pleomorphic analysis,https://www.youtube.com/watch?v=HQU_XHdUQE8
,
"Current training course & past attendees (training site, manual, flash drive etc",
Questions,Answers
,
"I'm having trouble accessing Module 4 assessment. The only thing not
checked off is the Mod 4 training manual. I went through the whole thing by
clicking through all the pages. I have the manual printed out so I do not need
to read it on the screen. Is there a better way to do this?","The tests are visible, but will appear grey and will not be accessible, unless the preceding module of the training course has been completed. This is to allow us to track progress to ensure that all the course materials are being covered in the training. The recorded lessons don’t have to be completed to access the tests since many attendees use the link, but the module of the training manual has to be completed to unlock the test. The manual covers much more information than the live lessons, and many of the test questions cover content from the manual.

 

I have marked module 4 of the manual as completed under your profile, so you should now be able to access test #4. The system is set to register the module as completed when it’s 90% completed, in case it doesn’t register the last page. If it’s not marking the element as completed it might be from an internet connectivity issue. Please also stay on the last page for at least 1 minute so it can register the module as completed."
Where can I access the recordings is another good que,
I very much prefer a hardcopy manual rather than a USB.,"Most of our attendees prefer to read from a printed copy instead of on a computer. For this reason we’ve enabled printing of the manual, so you’ll be able to print the entire manual, or specific sections. The quality of the images in the manual are very clear and will not lose any clarity with printing. We usually don’t supply a hard copy with the course as it will increase the cost, which means that we won’t be able to offer free shipping of the training materials. However, if you’d prefer to receive a printed manual we can send you one with the flash drive & wall charts at an additional cost of $180."
Do you provide wall charts?,We supply laminated wall charts with the most common live blood anomalies and the most common dry blood anomalies.
How do I join the attendees private Facebook page,You can join here https://www.facebook.com/groups/livebloodonline
I can’t print the manual What can I do to print it?,"The manual can be printed from the online training site. 
When the manual is open in the reader there should be a print icon at the top right hand side.
Clicking on the print icon will open the print menu. 
We’ve noticed that the print icon doesn’t display in all browsers for some reason. If you don't see it, please use Firefox as the browser when accessing the training site. Alternatively the manual can be printed from the flash drive, which is provided with the training course."
How long are the live lessons?,The lessons are approx 1 hour but often go on for another half hour with questions.
"We had difficulty printing the manual, PC and Mac version.","Please print according to the instructions – the print-friendly version must be opened within the PC Viewer (if Windows) or Mac Viewer (if a Mac user) and then sent to the printer by clicking File > Print. In some cases the app is blocked by the system’s antivirus, so it’s also recommended to either disable the antivirus temporarily or to whitelist the app. It should print without any problems then as we test them before sending them out, but please send a screenshot of the error message if there are any problems"
"If I only have a little bit of time to study each week, can I take my time with each section, even if it means I take years to complete?  Would I still be able to eventually get the certificate?","You may take as long as you like to finish the training course and get your certificate, you will get access to the training videos & modules for a year after the end of the training course but we can always extend that on request."
"I need some sort of report to give to the clients after they make their appointments.  I normally give them photos of the session, but they are not well versed in what the anomalys mean. ","We have a few report templates on the online training site and on the flash drive. The checklist is useful for practitioners to keep as a printed copy of what they encountered in a client’s case, ideal for physical case files. Most practitioners who compile a report use the concise version as it is quite simple and not very time consuming. There is also not too much information that may be overwhelming or misunderstood by clients like in the full report."
Will we receive a manual on the 2 part payment plan?,"The manual is available on the training site immediately on receipt of the first payment and on the USB flash drive (printable) which will be sent to you on completion of payment.
You will have access to the manual on the training site with the 2 part payment plan."
