Question,Answer ,,,,,
Do I need to have a microscope to join the training course,"You don't need a microscope to join the training course but you will need it to submit your case study after the training course ends, to receive your certificate.We recommend you watch the video here https://livebloodonline.com/microscopes/ before buying your microscope, darkfield microscopes for LBA are very specialised and we want to help attendees avoid making any expensive mistakes.",,,,,
Who is the LBA online training course for?,"The training course is open to anyone but it is primarily geared to existing natural health practitioners including naturopathic doctors, nutritionists, colonic hydration & detox practitioners, osteopaths, holistic specialists etc., to practice on it's own or to work with and complement other practices.",,,,,
"I already studied Live Blood Analysis but don’t feel I know enough, would the course benefit me?","We have many students who studied LBA elswhere and don’t feel confident enough in their knowledge to practice. This training course is ideal for that situation. All the lessons are recorded so all the lessons and material can be repeated. The training course, the manuals and the training site cover everything you need to know to become proficient and confident in your analysis.",,,,,
The course has already started can I still join?,"Yes, all the lessons are recorded so you can catch up with the video recordings at any time.",,,Joining a training course,Training course general,
Do you supply the microscopes?,"Yes we supply microscopes for all your needs in Live & Dry Blood Analysis, please see our microscope page https://livebloodonline.com/microscopes/ and/or let us know if you would like a phone call to discuss your requirements info@livebloodonline.com",,,Joining a training course,Training course general,
Do you have any criteria for example having to be therapists already?,"The training course is open to anyone as some attendees just want to help themselves and thier family, but we are primarily geared to existing practitioners of some sort in Health, Fitness, Training, Nutrition or Naturopathy.",,,Joining a training course,Training course general,Microscopes
Can I do the course for interest without a medical background?,"Yes, we have students taking the course for general interest and/or to help their friends/family.",,,Joining a training course,Training course general,Requirements
"I Live in USA and am on another time zone, how would that work?","We have students from all over the world in different time zones. All of the lessons are recorded so if you can’t be at your computer at the allotted time, you can view the video recording of the lesson and send your questions in to us.",,,Joining a training course,Training course general,Requirements
"I will not be able to attend every week, is it worth me joining?","All of the lessons are recorded so if you miss a lesson, you will be able to view the video recording of the lesson and send your questions in to us.",,,Joining a training course,Training course general,
What microscope do you recommend?,Please go to microscope page for specifications and our recommendation https://livebloodonline.com/microscopes/,,,Joining a training course,Training course general,
What qualifications are needed to practice live blood analysis? What is the legislation around using the blood analysis and what qualifications are required to register for the course? Do I need a medical background?,"There are no formal regulations around live blood analysis, so in essence anyone can add it to their existing practice. The training course is open to anyone but is primarily geared to existing practitioners and we would expect students who intend to practice to have a diploma of some sort in Health, Fitness, Training, Nutrition or Anatomy & Physiology.",,,Joining a training course,Training course general,Microscopes
What’s the best way to get started in Live Blood Analaysis?,"To get the best start in LBA you need a really good training course of a high standard with information from all different perspectives to give a better insight. Look for a highly qualified & experienced tutor with a background in naturopathic medicine. The theory is very important, but the practical aspects of LBA are also equally important because if you’re not able to take blood samples correctly then your results won’t be reliable. Your course needs to be comprehensive and the equipment you use (your microscope system) needs to be up to the correct specifications so you’re able to use LBA to its full potential from the beginning. I’ve often seen people who want to add LBA to their practice, but who don’t want to invest in a good enough system, so they start with a very basic system that doesn’t allow them to see everything they should be able to see with LBA and they never really fully benefit from LBA. So the theory, the practical proficiency and the correct equipment are all critically important.",,,Joining a training course,Training course general,Requirements
