,
Question,Answer 
Why Choose Live Blood Online?,
Do I need to have a microscope to join the training course,"You don't need a microscope to join the training course but you will need it to submit your case study after the training course ends, to receive your certificate.We recommend you watch the video here https://livebloodonline.com/microscopes/ before buying your microscope, darkfield microscopes for LBA are very specialised and we want to help attendees avoid making any expensive mistakes."
Who is the LBA online training course for?,"The training course is open to anyone but it is primarily geared to existing natural health practitioners including naturopathic doctors, nutritionists, colonic hydration & detox practitioners, osteopaths, holistic specialists etc., to practice on it's own or to work with and complement other practices."
,
,
,
"I already studied Live Blood Analysis but don’t feel I know enough, would the course benefit me?","We have many students who studied LBA elswhere and don’t feel confident enough in their knowledge to practice. This training course is ideal for that situation. All the lessons are recorded so all the lessons and material can be repeated. The training course, the manuals and the training site cover everything you need to know to become proficient and confident in your analysis."
The course has already started can I still join?,"Yes, all the lessons are recorded so you can catch up with the video recordings at any time."
Do you supply the microscopes?,"Yes we supply microscopes for all your needs in Live & Dry Blood Analysis, please see our microscope page https://livebloodonline.com/microscopes/ and/or let us know if you would like a phone call to discuss your requirements info@livebloodonline.com"
,
Do you have any criteria for example having to be therapists already?,"The training course is open to anyone as some attendees just want to help themselves and thier family, but we are primarily geared to existing practitioners of some sort in Health, Fitness, Training, Nutrition or Naturopathy."
Can I do the course for interest without a medical background?,"Yes, we have students taking the course for general interest and/or to help their friends/family."
"I Live in USA and am on another time zone, how would that work?","We have students from all over the world in different time zones. All of the lessons are recorded so if you can’t be at your computer at the allotted time, you can view the video recording of the lesson and send your questions in to us."
"I will not be able to attend every week, is it worth me joining?","All of the lessons are recorded so if you miss a lesson, you will be able to view the video recording of the lesson and send your questions in to us."
What microscope do you recommend?,Please go to microscope page for specifications and our recommendation https://livebloodonline.com/microscopes/
What qualifications are needed to practice live blood analysis? What is the legislation around using the blood analysis and what qualifications are required to register for the course? Do I need a medical background?,"There are no formal regulations around live blood analysis, so in essence anyone can add it to their existing practice. The training course is open to anyone but is primarily geared to existing practitioners and we would expect students who intend to practice to have a diploma of some sort in Health, Fitness, Training, Nutrition or Anatomy & Physiology."
What’s the best way to get started in Live Blood Analaysis?,"To get the best start in LBA you need a really good training course of a high standard with information from all different perspectives to give a better insight. Look for a highly qualified & experienced tutor with a background in naturopathic medicine. The theory is very important, but the practical aspects of LBA are also equally important because if you’re not able to take blood samples correctly then your results won’t be reliable. Your course needs to be comprehensive and the equipment you use (your microscope system) needs to be up to the correct specifications so you’re able to use LBA to its full potential from the beginning. I’ve often seen people who want to add LBA to their practice, but who don’t want to invest in a good enough system, so they start with a very basic system that doesn’t allow them to see everything they should be able to see with LBA and they never really fully benefit from LBA. So the theory, the practical proficiency and the correct equipment are all critically important."
How long does it take to really become proficient at live blood analysis?,"We suggest at a minimum of 4 hours study a week on top of the weekly lesson. The technique of collecting the blood samples is fairly easy to master and most students are completely proficient in this within a month. Most students are also able to identify the most common anomalies correctly within 1-2 months, but it is important to have as much knowledge as possible because clients often ask questions, and some clients are sceptical, so as a practitioner you need to have as much information to draw from as possible. Most practitioners are able to start practicing after 3 months, your proficiency will constantly improve as you see more and more clients and get hands-on experience with LBA."
How much experience does a person need to start practicing LBA?,"You need to have enough practical experience with the microscope to be able to use the equipment easily and proficiently. You will also need to practice on yourself and anyone willing to let you practice on them until you feel confident enough in your abilitiy to take a good sample. Then you will need to put everything you have been taught on the training course into practise. Most practitioners are able to start practicing after 3 months, your proficiency will constantly improve as you see more and more clients and get hands-on experience with LBA."
Is Enderlein theory of pleomorphism taught in the course?,"Yes, we cover the theory of pleomorphism in detail with all the phases of development of the particular growth forms identified by Dr Enderlein. Under each anomaly we also discuss the pleomorphic perspective. The training course covers all aspects of live blood analysis so consequently is not exclusively pleomorphic."
Do you teach phase contrast or darkfield?,"The microscope systems we use are fitted with brightfield and darkfield, so the images you’ll see in the course materials would be either brightfield or darkfield. Phase contrast was developed as a less expensive option to darkfield, but even with the best phase contrast microscope systems you won’t be able to see everything you can with darkfield. That’s why we focus exclusively on brightfield and darkfield analysis of live blood."
What makes this course different from other courses?,"This training course draws from a variety of researchers, whereas other courses only offer one researcher’s viewpoint so you are likely to encounter a lot of information that is not covered in any other single course.
This course is online, interactive, with live lessons and video recordings so attendees can study anywhere in the world. Online training does away with expensive travel and accommodation costs to travel to an in-house training centre where practitioners find they have to learn a huge amount of information in a short amount of time, this is not practical and students find they are not able to take it all in.
No other course offers as much information and detail, plus an online training site with a huge database of images, videos and information.
Plus, back-up and support is provided after the training course ends."
Is the equipment easy to transport?,For air travel of the microscope you will need the original protective box packaging to send it or you may take it as hand luggage. For general transporting around we suggest a cabin bag (on wheels) fitted out with foam for protection so that you can wheel your microscope around easily. 
How often do you run the courses?,"We run training courses in January, April and September, the courses fill up quickly so do book your place in plenty of time."
