Questions,Answers,
How much is the microscope used in the training course and how is it purchased and shipped to United States?,"You can purchase the microscopes from us with the confidence that we will provide the training and support in setting up your microscope.  

You will find the microscope information and prices here http://livebloodonline.com/microscopes/

We recommend option 1) HDMI-LED Dark Field Microscope LBA Package. This is our top of the range system, featuring the latest LED illumination and high-definition imaging system https://livebloodonline.com/microscopes/microscope-brochure/

We highly recommend that you watch the video in the above link. This explains the importance of buying the right microscope which of course is a big investment so we don't want our attendees to make any expensive mistakes
 
Unfortunately, we have seen many students who have bought from companies who say their microscopes are for Live Blood Analysis when it is clear most companies don’t fully understand the critical specifications needed for Live Blood Analysis.

All microscopes have a 2 year warranty, we are currently offering free international shipping by courier.   

",
Are the parts and maintenance available in United States?,"We have a network of affiliated service and repair agents available in most countries. However, the microscopes are built to be reliable and durable, and require minimal servicing. The majority of our clients are able to use their microscopes for many years without the need to contact a service agent.",
What if the microscope is broken during shipment?,"In terms of the repair procedure, we usually don’t encounter any problems since the microscopes are durable and reliable, however we do provide support should there be any issues and your microscope has a 2 year warranty.
",
Do you have service and repair agents available in Australia?,"We have a network of affiliated service and repair agents available in most countries. However, the microscopes are built to be reliable and durable, and require minimal servicing. The majority of our clients are able to use their microscopes for many years without the need to contact a service agent.",
Why are your darkfield microscopes more expensive than many other available online?,"Our darkfield microscopes are built specifically for darkfield analysis of live blood samples. Other darkfield microscopes do not have the necessary set of features for proper darkfield analysis of live blood. They may be suitable for viewing other samples in darkfield, but when it comes to analysing live blood in darkfield a very specific set of features are needed in a darkfield microscope.

To allow the practitioner to see and detect all the live blood anomalies in darkfield, a microscope needs to have the following specifications:

1. Light source:
50W halogen (minimum) or 9W LED. Our LED microscopes have a 9W LED light source, which is equivalent to 100W halogen – ideal for darkfield live blood analysis. The strong light source creates sufficient brightness to allow the faint anomalies between the cells to show up clearly against a black background.

Darkfield microscope light comparison

2. Magnification range:
Most anomalies in live blood require a minimum magnification of 1000X to be identified. Standard microscopes provide the same magnification level on the viewing screen as through the eyepieces. This means that a magnification of 400X will be achieved on the viewing screen when the 40X objective is used, and to achieve a suitable level of magnification the 100X objective would need to be used. Standard microscopes feature standard 100X objectives that do not have a built-in iris diaphragm, which allows through too much light and makes it nearly impossible to see anything clearly in darkfield. This means that users inevitably end up using the 40X objective exclusively, and as a result, struggle to identify anomalies properly at 400X.

Our microscopes feature a wide magnification range, with additional magnification to the viewing screen. This allows the user to achieve a magnification of 1600X on the viewing screen with the 40X objective, and an industry-leading 4000X magnification on the viewing screen with the 100X objective.

Darkfield microscope magnification comparison Darkfield microscope magnification comparison",See https://www.neogenesissystems.com/faqs/
Is there any finance available to purchase microscope,We are not in a position to offer you finance with our microscopes but we do take part payments to suit attendees and deliver on completion of payments.,
is there a video on how to assemble the microscope?,"Detailed instructional videos are sent with the microscope shipment confirmation email.
",
Do you ship the microscopes to Canada? What would be the estimated wait period?,"We regularly ship microscopes to our attendees in Canada. We use DHL for our microscope shipments – delivery is typically within 3-5 days from the date of shipment. We do have stock at the moment, so we’ll be able to dispatch your order within a few days. The total lead time is usually 7-10 days. We will send a shipment confirmation email with the tracking number as soon as your microscope has been sent. Shipments with DHL are also 100% trackable and the estimated delivery date shown in the tracking results is quite reliable. ",
What is the cost of shipment of the microscope here in USA?,"Shipping is free with the microscope orders, although a nominal fee is usually payable to local customs for import tax. This is approx. $75 USD based on the commercial invoice sent with the order.

> Shipment is done from our offices in Johannesburg, South Africa. We check and make a few final adjustments for darkfield to the microscopes here before they’re sent off. The camera is also from a different supplier, which has to be tested with the microscope to ensure that everything is up to standard.",
"Warranty: how long does it currently take to get new parts, approx. what costs for shipment (if you have the info on our country), and how are the repairs done considering we are in another country? Are there any other special terms for our warranty?","""We keep the parts in stock and can dispatch right away, so delivery (also with DHL) would be 3-5 days. There aren’t any shipping costs as this is covered in the warranty. In terms of the repair procedure, we usually don’t encounter any problems since the microscopes are durable and reliable, however we do provide support should there be any issues.

We firstly provide live video support to establish what the cause of the problem is. The majority of queries are related to user error, but if the issue is due to a part that needs to be replaced, a new replacement part will be shipped to you by courier. We will also provide video support to change the part where needed. 

If there is a major issue that cannot be fixed by replacing a part, we will source a microscope technician near you who will affect the repair at our own cost. However, we sell microscopes to our attendees all over the world and have not had this situation before. We also realise that practitioners become reliant on their microscopes when they use live blood analysis in their practices every day, so we will ensure that there is as little downtime as possible if anything does go wrong.  """,
"Does the warranty go through you, or directly to the manufacturing company?",The warranty goes through our company Neogenesis Medical Systems.,
"Are your microscopes approved by FDA, and is such approval needed? I am not familiar with requirements for microscopes, but working with other equipment, we needed to comply.","FDA registration is not required. We send these under the tariff code for “optical microscopes”, which include all standard laboratory, medical and educational microscopes, so they’re not imported specifically as live blood analysis microscopes. We also cover the regulations around the practice of LBA in the training course.",
Are there any supplies required for ongoing use of the microscope that I need to get? Are all available worldwide?,"The supplies used during the analysis (lancets, slides, etc) are available worldwide. There are specific brands of slides we recommend, which are available from local agents and Amazon. We provide info on the accessories needed in the course materials.",
Do you have an option to add a motorized stage?,"""For us the efficiency is important, as we need to assess up to 25-30 people within same day, or maximum in 2 days. The ideal situation is to be able to quickly take a blood sample, record it and then analyse at a later time.

We’ve not supplied these systems with a motorised stage before, but the manufacturers are able to do this. Let us know if you would like a quote.",
how long should it take to receive microscope? Is there a tracking number?,"The delivery time is usually 2 weeks.  We will email the shipment confirmation and tracking details as soon as it’s available, which will provide a more accurate delivery date and allow you to track the progress of the shipment.",
Where can I get a list of accessories needed for the microscope,The list is provided with your microscope order or you will also find the list on the training site ,
What is the income potential doing liveblood analysis? Can it be measured by population? I must plan how to pay off the microscope.,"The actual figures depend on what you’re charging, which varies from country to country. Because it is such a powerful drawcard and clients become more committed to following the recommended protocols, and also since they usually want to take something to help resolve what was seen in their blood, most practitioners are able to recover the cost of the microscope within 2-4 months. We can help to work this out a bit more accurately if you know what other natural health practitioners in your area are charging for a 1 hour consultation.",
What size lancet does one use?,"Information on the accessories needed for live blood analysis is available on the online training site, just before module 2 of the training manual.

Lancets:

Single-use sterile lancets, 28G 1.8mm. Unistik 3 by Owen Mumford is widely available. The depth cannot be adjusted on these units, but there are various standard depths available in the brand, ranging from Gentle (30G 1.5mm) to Extra (21G 2.0mm). We recommend Unistik 3 Comfort (28G 1.8mm), but you should choose the type that allows you to get blood samples easily, without needing to squeeze the finger.

 ",
Is there a payment plan for the Microscope?,We can offer you a payment plan for the microscope but we will only be able to deliver on completion of payment.,
Is the Microscope easy to move around?,We suggest finding a wheeled airline cabin bag of the appropriate size and buying foam off-cuts for padding makes a good solution for portability.,
Does it come with a case,"No, your microscope is delivered in strong polystyrene packing case only.We found that adding a case makes the microscopes heavier to deliver to you and more expensive. We suggest finding a wheeled airline cabin bag of the appropriate size and buying foam off-cuts for padding makes a good solution for portability.",
Could you send the weight of this microscope and the dimensions of the box.,"The weight of the box is 8kg (17,5lbs)
The box is usually 31 x 36 x 54 cm (12 x 14 x 21 inches).
Shipping with DHL is free with our microscopes, so you won’t have to pay or arrange for shipping separately.",
"Which microscope do you recommend using for LBA, brightfield or dark field? Which one is best?","A darkfield and brightfield microscope is required to be able to see all the anomalies in live and dry blood analysis.

This is our recommendation:

The HDMI-LED Live Blood Analysis System  is our top of the range system, featuring the latest LED illumination and high-definition imaging system https://livebloodonline.com/microscopes/ This microscope includes the latest LED illumination  (9W, equivalent to 90-100W halogen)  and a high-definition HDMI-USB camera.

Price: $6,920 (USD)

Please find the brochure here;  https://livebloodonline.com/microscopes/microscope-brochure/",
